term,kana,meaning
~ば，~,,[小句1]ば、[小句2]：表示小句1是小句2的必要条件。\n原则上句尾不能使用表示意志、希望、命令、请求的表达方式。不过，如果小句1的谓语为状态性谓语或者前后两个小句的主语不同时，则不受此限制。
~ぶり,,表示动作进展的状况，前接部分名词或动词。\n常见「話しぶり、働きぶり、仕事ぶり、食べっぷり、飲みっぷり」等
~べきだ,,动词基本形＋べきだ＜例外：する → すべきだ＞\n一类形容词＋くあるべきだ\n二类形容词／名词＋であるべきだ\n终止形式：「～べきだ」\n连体形式：「～べき」\n否定形式：「～べきではない」
~ほうがいいだろう,,建议
~ほうがっだ,,比较 建议
~ほど,,强调程度 书面
~ほどだ,,「ほど」接在小句之后\n有「～ほど、～」「～ほどの＋名詞」「～ほどだ」等几种形式。
~まい,,［動詞基本形］＋まい＜二类、三类动词可用否定形＋まい＞
~まで【提出极端事例】,,极端
~までに,,“在~之前（发生或完成某动作）”， [名(时间)]までに 表示某动作或事态发生或完成的期间的终点。
~までには,,期限 发生某事的特定时间
~までもない,,［動詞基本形］＋までもない\n類似表現：～には及ばない\n名詞＋には及ばない：表示同前者相比存在很大差距，比不上、及不上
~ままに,,「连体形」＋ままに／ままの\n表示按照不改变现有的现状，同时伴随着另一个动作或状态。
~まま，~,,[小句1(动词た形／ない形)]まま、小句2 表示将理应改变的某状态保持着去进行另外的动作。
~みたいです [推测],,[小句(简体形)]/[名]/[形2词干]＋みたいです 表示根据说话人感知的某种情况进行推测，基本上与“～ようだ”同义。 用于比较随便的口语
~みたいです [比喻],,[名]／[动(简体形)]+みたいです “好像…宛如…”，表示比喻时多与副词“まるで”呼应使用。语气更为随便，多用于口语；
~も [超出预想],,数量词+も+肯定形式：强调数量多，程度高；表示数量比预想的或应有的多
~もあれば~もある,,「～も～ば、～も」：这个句式表示两种动作状态同时存在，不限于动词「ある」。
~もんか,,名詞连体形＋ものか\n① 否定判断；② 否定意志\n带有指责的语气
~もんで,,「简体形＜二类形容词－な、名－な＞」＋ものだから、もので\n「简体形」＋もの\n相当于「～もので、～ものだから、～もの」，
~やすいです/~にくいです,,“易于……”/“难于……” [动(连用形)]+やすいです／にくいです。 表示某事物的性质。
~ゆえに/~ゆえの,,原因
~よう【目的】,,书面
~ようです [推测],,[小句(简体形)]/[形2词干]+な/[名]+の ＋ようです 表示根据说话人感知的某种情况进行推测，“好像，似乎“。
~ようです [比喻],,[名]＋の／[动(简体形)]+ようです　[比喻][示例] “好像…宛如…”，表示比喻时多与副词“まるで”呼应使用。语气更为正式，多用于正式的口语或书面语。
~ような~/~ように~,,举例
~ようにします,,[小句(基本形／ない形)]ようにします：表示“努力做到……”。一般前接意志性动词 \n[小句(基本形／ない形)]ようにしています：表示平时留心保持某习惯。
~ようになります,,[小句(基本形／ない形)]ようになります：表示变化。 表示能力、状况、习惯等变成某种状态。 一般前接非意志性动词，或意志性动词的可能形式
~ように，~,,[小句(基本形／ない形)]ように、[小句]　[目的] 表示“为了使前项状态成立，而有意识地做后项事情”。 一般前接非意志性动词，或意志性动词的可能形式
~よりも,,「より」表起点时，不能加助词「も」
~らしい~ [典型性],,[名1]＋らしい＋[名2] 接尾词，前接名词，表示具有该事物应有的典型特征。 \n多与副词“いかにも”（确实、的确、实在）呼应使用。 \n若[名1]与[名2]为同一个名词时，表示“真正意义上的～”“像样的～”。
~らしいです [推測] [传闻],,[小句(简体形)]/[名词／二类形小句简体形式(去掉だ)]＋らしいです　 \n1. 根据某种观察到的情况进行推测； \n2. 婉转地叙述听来的消息。
~られます,,变形相当于动词的被动形式。但在句中并不表示被动，而是表示对动作主体的敬意 ；同时，不同于被动语句，尊他语句的语序、助词等，都不改变。
~れば幸いです,,礼貌地向对方提出请求
~わけがない,,否定 语气强
~わけだ,,表示自然推理的结论
~わね,,大婶腔
~を~にした~/~を~とした~,,以……为……
~をきっかけにして,,后项多为好结果
~をはじめ,,「名詞＋をはじめ（として）」「名詞＋をはじめとする＋名詞」\n表示从多个事物中举出一个最具代表性的事物。
~をもって,,「时间名词」＋をもって：表示开始或结束的时间点。多用于正式的场合。更加正式的说法是「～をもちまして」。\n②「名词」＋をもって：表示手段、工具。
~をもとにする,,「名詞＋をもとにする」\n以……作为进行某行为时的判断依据或素材
~を前にする,,表示在空间上面对某人或某事，在时间上面临某事
~を占める,,比例
~を問わず,,书面
~を境に,,以……为界、分水岭
~を超す,,超过……
~を通した,,［名詞］＋を通して／を通じて
~を通じて,,［时间名词］＋を通（つう）じて／を通（とお）して
~んしゃないだろうな,,表示说出自己的推测并向对方确认
~んじゃないですか [婉转陈述意见的表达],,表示婉转陈述意见，与“～のではないでしょうか”意思一样，礼貌程度略低。
~一方、~,,对比
~一方だ,,消极
~中(で)，~,,［動詞基本形／形容詞］＋中（なか）、\n［名詞＋の］＋中（なか）\n「～中（なか）」在此表示某事态发生的背景状态
~中，~,,可以接在数字后面表示范围
~予定だ,,计划
~以上(は)~,,＋以上（は）
~以上に,,对比
~以来,,＋以来
~即した/~に即して,,＋に即して
~始めます/~出します,,[动(连用形)]始める：表示动作或变化开始。\n[动(连用形)]出す：表示突然出现了某情况。
~差し上げます,,“あげる”的自谦语形式
~抜きで,,＋抜き
~抜きに(は)/~抜きで(は)/~抜きにしては,,＋抜き\n【名詞】＋を抜きにしては\n【名詞】＋は抜きにして
~時はいつも,,……时，总是……
~時点で,,前接时间名词或小句\n「時点」是指时间长河中的一个点，「時点で」带有以这一点将时间区隔开的意思。
~時，~,,小句(简)+時：“……的时候，……” \n接续：名+の/形1(简)/形2(词干)+な/动(简) +時 \na.～する（基本形）＋時、…：表示后项动作实现时，前项动作未完成 \nb.～した（た形）＋時、…：表示后项动作实现时，前项动作已完成
~末,,结果 积极
~次第,,＋次第\n<后项多为己方的动作，或请求对方做的事情>
~次第で,,「名詞＋次第だ」「名詞＋次第で、～」
~気がする,,语气弱
~申し上げる,,「お・ご～申し上げる」是「お・ご～する」更礼貌的说法。
~終わります,,[动(连用形)]終わります：表示动作或行为的结束。注意：用于具有一定量的行为、动作。
~続けます,,[动(连用形)]続けます：表示动作或状态不间断的持续。\n“降ります”后面不能接“続けます”而须后接“続きます”。
~過ぎます,,[动词连用形]/[形1(去掉词尾い)]/[形2词干]+過ぎます：表示超过了正常的量或程度。\n“～過ぎます”的活用与动2相同。
~間/間に,,[名＋]の／[动(简体形)]＋間：表示在某行为或事态持续的时间段； \n[名＋]の／[动(简体形)]＋間に：表示某行为或事态发生或完成的时间范围。
~限り,,＋限り
…か月,…かげつ,…个月
…だい,,…台（用于计算机械、车辆等机械类时）
…まい,,…枚（用于计算纸张、邮票等薄的物品时）
…メートル,,…公尺
…人,…にん,…个人
…円,…えん,?日元
…分,,(…ふん（…ぷん）1) …分（钟）
